href,language_num,sex,birth_place,native_language,other_languages,age_sex,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence,age
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1011,arabic25,male,"['(occupied', 'territory)']",arabic,"['french', 'spanish', '']","['38,', 'male', '']",5.0,naturalistic,['usa'],33.0,38
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1012,arabic26,female,"['amman,', 'jordan']",arabic,['none'],"['43,', 'female', '']",14.0,academic,['usa'],28.0,43
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1013,arabic27,male,"['jerusalem,', 'israel']",arabic,"['farsi', 'hebrew', '']","['70,', 'male', '']",10.0,academic,['usa'],30.0,70
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1115,arabic28,male,"['arab', 'emirates']",arabic,['none'],"['30,', 'male', '']",12.0,academic,['usa'],1.0,30
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1116,arabic29,male,"['doha,', 'qatar']",arabic,['none'],"['19,', 'male', '']",17.0,academic,['usa'],0.3,19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1133,arabic30,female,"['saudi', 'arabia']",arabic,['none'],"['19,', 'female', '']",8.0,naturalistic,['usa'],11.0,19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1181,arabic31,female,"['baghdad,', 'iraq']",arabic,['none'],"['47,', 'female', '']",12.0,academic,['usa'],0.3,47
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1203,arabic32,male,"['baghdad,', 'iraq']",arabic,['none'],"['42,', 'male', '']",12.0,academic,['usa'],16.0,42
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1204,arabic33,female,"['baghdad,', 'iraq']",arabic,['none'],"['28,', 'female', '']",11.0,academic,['usa'],0.3,28

http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1391,arabic35,male,"['saudi', 'arabia']",arabic,['none'],"['56,', 'male', '']",16.0,naturalistic,['usa'],33.0,56
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1392,arabic36,male,"['saudi', 'arabia']",arabic,['none'],"['36,', 'male', '']",6.0,academic,"['usa,', 'uk']",6.0,36
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1393,arabic37,male,"['saudi', 'arabia']",arabic,['none'],"['18,', 'male', '']",16.0,academic,['usa'],0.4,18
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1394,arabic38,female,"['maryland,', 'usa']",arabic,['none'],"['19,', 'female', '']",9.0,academic,['usa'],12.0,19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1405,arabic39,male,"['saudi', 'arabia']",arabic,['none'],"['22,', 'male', '']",5.0,academic,['usa'],2.0,22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1420,arabic40,male,"['saudi', 'arabia']",arabic,['none'],"['19,', 'male', '']",13.0,academic,['usa'],0.1,19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1421,arabic41,male,"['saudi', 'arabia']",arabic,['none'],"['25,', 'male', '']",7.0,academic,['usa'],1.5,25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1422,arabic42,male,"['saudi', 'arabia']",arabic,['none'],"['21,', 'male', '']",13.0,academic,['usa'],0.5,21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1426,arabic43,female,"['beirut,', 'lebanon']",arabic,"['french', 'spanish', '']","['29,', 'female', '']",8.0,academic,[''],0.0,29
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1455,arabic44,female,"['saudi', 'arabia']",arabic,['none'],"['29,', 'female', '']",7.0,academic,['usa'],0.6,29
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1456,arabic45,female,"['colorado,', 'usa']",arabic,"['turkish', '']","['32,', 'female', '']",12.0,naturalistic,['usa'],0.5,32
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1457,arabic46,male,"['saudi', 'arabia']",arabic,['none'],"['28,', 'male', '']",13.0,academic,"['uk,', 'usa']",1.0,28
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1458,arabic47,male,"['saudi', 'arabia']",arabic,['none'],"['39,', 'male', '']",16.0,academic,['usa'],0.75,39
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1459,arabic48,male,"['saudi', 'arabia']",arabic,['none'],"['29,', 'male', '']",12.0,academic,['usa'],1.0,29
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1460,arabic49,male,"['saudi', 'arabia']",arabic,['none'],"['26,', 'male', '']",8.0,academic,['usa'],1.0,26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1461,arabic50,male,"['saudi', 'arabia']",arabic,['none'],"['36,', 'male', '']",22.0,academic,['usa'],0.75,36
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1486,arabic51,male,"['saudi', 'arabia']",arabic,['none'],"['23,', 'male', '']",12.0,academic,['usa'],4.0,23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1487,arabic52,female,"['saudi', 'arabia']",arabic,['none'],"['21,', 'female', '']",9.0,academic,['usa'],5.0,21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1526,arabic53,male,"['rabat,', 'morocco']",arabic,"['french', 'tachelhit', 'danish', 'swedish', '']","['36,', 'male', '']",17.0,academic,['usa'],12.0,36
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1565,arabic54,male,"['baghdad,', 'iraq']",arabic,"['french', '']","['22,', 'male', '']",7.0,academic,['usa'],3.0,22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1569,arabic55,male,"['beirut,', 'lebanon']",arabic,"['french', '']","['70,', 'male', '']",33.0,academic,['usa'],37.0,70
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1677,arabic56,male,"['defla,', 'algeria']",arabic,"['french', '']","['43,', 'male', '']",12.0,academic,['usa'],3.0,43
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1699,arabic57,female,"['beirut,', 'lebanon']",arabic,"['french', '']","['28,', 'female', '']",17.0,academic,['usa'],11.0,2
